cluster_rank,h0_feature_index,birth,death,persistence,num_points_in_cluster,top_genres,top_artists,sample_songs
1,446650,7.300048565639372e-08,1.1947211027145386,1.194721029714053,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
2,446649,5.960464477539063e-08,1.1904667615890503,1.1904667019844055,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
3,446648,5.960464477539063e-08,1.1822634935379028,1.182263433933258,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
4,446647,5.960464477539063e-08,1.1720671653747559,1.172067105770111,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
5,446646,0.0,1.1671000719070435,1.1671000719070435,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
6,446645,4.214684778958144e-08,1.1637247800827026,1.1637247379358548,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
7,446644,5.960464477539063e-08,1.1612911224365234,1.1612910628318787,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
8,446643,4.214684778958144e-08,1.1584829092025757,1.158482867055728,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
9,446642,5.960464477539063e-08,1.1560454368591309,1.156045377254486,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
10,446641,4.214684778958144e-08,1.1545190811157227,1.1545190389688749,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
11,446640,5.960464477539063e-08,1.1544830799102783,1.1544830203056335,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
12,446639,4.214684778958144e-08,1.1538293361663818,1.153829294019534,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
